"2 camere tip Studio , acces metrou Aparatori, in constructie",56 600 €,"Bucuresti, Sectorul 4",50 m²,https://www.storia.ro/ro/oferta/2-camere-tip-studio-acces-metrou-aparatori-in-constructie-IDEZSR.html
Metrou Berceni - Garsoniera Acte Gata Pretul include Parcare 15min M2,75 000 €,"Bucuresti, Sectorul 4",38 m²,https://www.storia.ro/ro/oferta/metrou-berceni-garsoniera-acte-gata-pretul-include-parcare-15min-m2-IDFqVc.html
Apartament 2 camere Bragadiru Mobilat Utilat Loc de Parcare,65 000 €,"Bucuresti, Sectorul 2",48 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-bragadiru-mobilat-utilat-loc-de-parcare-IDF0Bx.html
"Vanzare apartament 3 camere, complet mobilat, zona Damaroaia",145 000 €,"Bucuresti, Sectorul 1",53 m²,https://www.storia.ro/ro/oferta/vanzare-apartament-3-camere-complet-mobilat-zona-damaroaia-IDDLic.html
"Vanzare apartament 2 camere, zona Doamna Ghica - Planorama",87 500 €,"Bucuresti, Sectorul 2",50 m²,https://www.storia.ro/ro/oferta/vanzare-apartament-2-camere-zona-doamna-ghica-planorama-IDEbOq.html
Central Address Residence - -zona 13 Septembrie -Marriott-Viilor,185 300 €,"Bucuresti, Sectorul 5",109 m²,https://www.storia.ro/ro/oferta/central-address-residence-zona-13-septembrie-marriott-viilor-IDmhdV.html
Garsoniera de vanzare - Spatioasa - Bloc Nou - Prel. Ghencea,63 000 €,"Bucuresti, Sectorul 5",43 m²,https://www.olx.ro/d/oferta/garsoniera-de-vanzare-spatioasa-bloc-nou-prel-ghencea-IDjSvZc.html
Central Address Residence - zona 13 Septembrie-Marriott-Viilor-Carol,159 500 €,"Bucuresti, Sectorul 5",110 m²,https://www.storia.ro/ro/oferta/central-address-residence-zona-13-septembrie-marriott-viilor-carol-IDmf78.html
"Apartament de 40mp cu balcon și lift, central",105 000 €,"Bucuresti, Sectorul 3",40 m²,https://www.storia.ro/ro/oferta/apartament-de-40mp-cu-balcon-i-lift-central-IDEt28.html
Drumul Taberei - Prelungirea Ghencea 2 Camere,85 000 €,"Bucuresti, Sectorul 5",56 m²,https://www.storia.ro/ro/oferta/drumul-taberei-prelungirea-ghencea-2-camere-IDEPW7.html
Drumul Taberei 2 Camere Cu Gradina 98 Mp,97 000 €,"Bucuresti, Sectorul 5",50 m²,https://www.storia.ro/ro/oferta/drumul-taberei-2-camere-cu-gradina-98-mp-IDEPZo.html
Garsoniera complex Quadra 2 | 12 min metrou Lujerului | Militari,99 500 €,"Bucuresti, Sectorul 6",43 m²,https://www.storia.ro/ro/oferta/garsoniera-complex-quadra-2-12-min-metrou-lujerului-militari-IDEwiA.html
NOU- Apartament 2 camere - 57 MP UTILI - DIRECT DEZVOLTATOR,81 000 €,"Bucuresti, Sectorul 5",57 m²,https://www.olx.ro/d/oferta/nou-apartament-2-camere-57-mp-utili-direct-dezvoltator-IDjSAfq.html
"Locuinta ideala, finisaje premium, locatie de top- langa Berceni Arena",110 500 €,"Bucuresti, Sectorul 4",55 m²,https://www.storia.ro/ro/oferta/locuinta-ideala-finisaje-premium-locatie-de-top-langa-berceni-arena-IDDINy.html
Apartament de lux cu 4 camere Residence 5 I Iancu Nicolae,459 000 €,Voluntari,143 m²,https://www.storia.ro/ro/oferta/apartament-de-lux-cu-4-camere-residence-5-i-iancu-nicolae-IDFnv2.html
Apartament 2 camere/Bragadiru strada Crisul Repede,69 000 €,Bragadiru,50 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-bragadiru-strada-crisul-repede-IDFn7d.html
Proprietar - Apartament complet renovat Lujerului,120 000 €,"Bucuresti, Sectorul 6",,https://www.olx.ro/d/oferta/proprietar-apartament-complet-renovat-lujerului-IDjN2hF.html
